NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;O aplicativo é profissional;Oferece informa??es suficientes do passageiro;Oferece boas funcionalidades de seguran?a;10;Agrade?o a 99, pois no momento de desemprego tem me ajudado muito, também com um suporte que a concorrente n?o tem. Parabéns Sucesso para todos nós.
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;? seguro trabalhar com a 99;10;Muito bom a parceria!
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;;;10;Sim estou na espera do meu cart?o para receba meus ganhos mas acho que tá demorando se pode me ajuda agrade?o
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma visualiza??o clara e correta dos meus ganhos;? seguro trabalhar com a 99;10;Gostaria de trabalhar no meu dia do rodízio
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece um atendimento ao consumidor fácil de entrar em contato;? seguro trabalhar com a 99;10;N obrigado.
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Todos falam sobre a 99 de forma positiva;Oferece uma rota segura de acordo com a prevista;9;?timo
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Raramente aparecem corridas de/para áreas de risco;? fácil receber meus ganhos na minha conta;9;Precisa melhorar os ganhos do motorista, e ter mas critérios para prova??o de novos usuários.
Promoter;BR;SP;Oferece ganhos bons e estáveis;Tem regras justas;? fácil receber meus ganhos na minha conta;10;Mas últimas semanas confesso que fiquei decepcionado com a 99 pois atingi nota máxima de avalia??o e n ganhei nem um parabens. De toda forma gosto muito de trabalhar com a 99 e com certeza recomendaria o mesmo.
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo é fácil de ser utilizado;Todos falam sobre a 99 de forma positiva;10;A 99 é  excelente \n
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;;;10;Poderia cobrar mais do usuário porque muitas corrida até  o embarque passageiro demora mais de 5 minutos de espera ou n?o  aparece
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;;;10;N?o
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece boas funcionalidades de seguran?a;9;Gostaria que n?o afetasse a taxa de aceita??o, quando recusarmos corridas com mais de 2,5 km para buscar o passageiro
Promoter;BR;SP;O aplicativo é profissional;O aplicativo é fácil de ser utilizado;Oferece um atendimento ao consumidor fácil de entrar em contato;9;A corridas aqui em S?o Paulo que n?o vale a pena fazer, fazemos para n?o deixar o cliente na m?o o custo baixo.
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é fácil de ser utilizado;? seguro trabalhar com a 99;10;Muito  acessível o app
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;;;10;A 99 oferece melhor qualidade nos servi?os aos clientes e seguran?a ao ínformar as áreas de risco aos motoristas sendo assim trabalhar com a 99 nos deixa mais seguro pela sua honestidade.
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor fácil de entrar em contato;? fácil receber meus ganhos na minha conta;10;T? contente com vocês, vocês mostram o endere?o de embarque e desembarque, taxa boa, paga direitinho, tem bastante cliente. As promo??es s?o razoáveis, esse seria o único ponto de melhora...
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo é profissional;Raramente aparecem corridas de/para áreas de risco;10;Precisa aumenta os valores das corridas
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;;;9;Foto do passageiro ajudaria na identifica??o
Promoter;BR;SP;Tem regras justas;? fácil receber meus ganhos na minha conta;? seguro trabalhar com a 99;10;A 99 só precisa melhorar no aspecto da taxa de cancelamento caso o motorista chegue no destino do passageiro do mesmo n?o esta no local de embarque deveria ter uma taxa de cancelamento melhor ao motorista
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece uma rota segura de acordo com a prevista;O aplicativo é fácil de ser utilizado;10;Dist?ncia de buscar o passageiro está ainda com problema.Assim tá em longa dist?ncia.
Promoter;BR;SP;O aplicativo é profissional;Oferece boas parcerias para o motorista;O aplicativo é fácil de ser utilizado;9;Ate o momento nada a declarar
Promoter;BR;SP;Oferece ganhos bons e estáveis;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;10;Poderia melhorar a quest?o de como saber se a viagem é em dinheiro , cart?o( voucher) ou maquininha no carro ., e também ao aceitar a viagem , continuar mostrando a avalia??o do usuário e quantas viagens já fez com a 99( dentro da aba mais , onde nós vemos para onde o passageiro está indo).\n\nE mostrar a foto do passageiro para nós também, seria legal .
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;? fácil receber meus ganhos na minha conta;? seguro trabalhar com a 99;10;Obrigado pela aten??o, é isso aí tamos juntos no dia a dia.
Promoter;BR;SP;O aplicativo é profissional;Todos falam sobre a 99 de forma positiva;O aplicativo é fácil de ser utilizado;10;Aplicativo ótimo e me ajuda muito gra?as a Deus
Promoter;BR;SP;Tem regras justas;Oferece boas parcerias para o motorista;Todos falam sobre a 99 de forma positiva;10;Vocês s?o comprometidos com seu publico. Parabéns 99!
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece um atendimento ao consumidor fácil de entrar em contato;Oferece ganhos bons e estáveis;10;Estou muito satisfeito com.99
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Mostra as posi??es de embarque e desembarque corretamente;? fácil receber meus ganhos na minha conta;10;Sim, retirar a suspens?o por n?o aceitar a corrida.
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;;;10;Só a
Promoter;BR;SP;Raramente aparecem corridas de/para áreas de risco;O aplicativo é profissional;? seguro trabalhar com a 99;10;Espero continuar por muito tempo com a 99
Promoter;BR;SP;O aplicativo é profissional;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;10;Gosto muito de Trabalhar com a 99 e gostaria de pedir que orientassem os passageiros a n?o comer ou beber dentro do veículo e ainda,que coloquem o número do local para o qual solicitaram a viagem.
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;Oferece uma visualiza??o clara e correta dos meus ganhos;? fácil receber meus ganhos na minha conta;10;Nota 10
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;;;10;Nota 10
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo atende todas as minhas necessidades de trabalho;10;As vezes o deslocamento é longe para pegar os passageiros, fora isto é muito bom!
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece um atendimento ao consumidor fácil de entrar em contato;9;Deviria ter uma parceria mais fácil para alugarmos um carro, nem todos temos limite no cart?o de crédito para alugar um carro
Promoter;BR;SP;? seguro trabalhar com a 99;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;10;Estou satisfeito com a 99 so uma dica tem muitas chamadas para dentro de comunidades.
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;Tem regras justas;;10;Gostaria apenas de saber sobre eu estar em uma corrida já com passageiro e aparece uma nova chamada, vi que fiquei como se eu estivesse recusado e n?o foi dessa forma pois se verificarem o horário ver?o que eu estava com passageiro ainda em percurso.\nDemais está ótimo trabalhar com a 99
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma rota segura de acordo com a prevista;Oferece um atendimento ao consumidor fácil de entrar em contato;10;99 e 10
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é fácil de ser utilizado;;10;Observa??o: O motorista precisa de reajuste no valor das corridas, etanol caro, troca de óleo caro, manuten??o caro, almo?o caro!!! Lucro muito baixo, baixo! Precisamos de ajuda, reajustes urgente!!! Agrade?o a 99 desde já.
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;? fácil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;9;Boa tarde eu acho que o tempo de espera tem que diminuir para 5 minutos no máximo ainda mais a noite e de madrugada risco de assaltos e tem lugares de dia que nem pode para o passageiro pedir o carro e ainda ta no banho isso deve ser mudado ... E quer passa em driver cheio e nos fica no prejuizo parado em vez de esta fazendo outra corrida !!!
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;;;10;Bom..
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo atende todas as minhas necessidades de trabalho;Tem regras justas;10;Sou muito feliz em trabalhar com a 99
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é profissional;O aplicativo é fácil de ser utilizado;9;No momento n?o
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;? fácil receber meus ganhos na minha conta;Oferece ganhos bons e estáveis;9;Diminuir o tempo de espera no local de embarque, n?o penalizar motoristas com as taxas de recusa/cancelamentos, proibir chamadas para terceiros e prezar mais pela seguran?a do motoristas.
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Todos falam sobre a 99 de forma positiva;Oferece boas parcerias para o motorista;10;Eu gostaria que a taxa de cancelamento voltasse a ser r$ 5
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;? fácil receber meus ganhos na minha conta;10;O tempo que uso o app para trabalhar me sinto satisfeito.\nPoderia melhorar mostrando o local de partida e o destino assim que vc aceita a corrida. Fica melhor para o motorista.
Promoter;BR;SP;? seguro trabalhar com a 99;O aplicativo é profissional;O aplicativo atende todas as minhas necessidades de trabalho;10;Na madrugada tem que ser dinamico sempre
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece uma rota segura de acordo com a prevista;Oferece ganhos bons e estáveis;10;A 99 é topp
Promoter;BR;SP;Tem regras justas;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;10;Obrigado pela parceria
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Tem regras justas;Oferece uma rota segura de acordo com a prevista;10;Observar recusa enquanto ainda estamos sem finalizar a corrida em andamento, n?o diminuindo nossa pontua??o.
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;10;Agrade?o primeiramente a Deus, obrigado 99 por me ajuda com com esse ganhos.
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Tem regras justas;O aplicativo é fácil de ser utilizado;10;Esse é o melhor meio de transporte
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;? fácil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Melhora os incentivo
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor fácil de entrar em contato;10;Estou adorando fazer parte da família 99 um sonho realizado para mim ganhar a vida dirigindo
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;10;O aplicativo é muito bom mas para usufruir melhor gostaria que na baixada santista tivesse os mesmos benefícios que tem em S?o Paulo
