NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comentário
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;N?o se importa com o motorista parceiro;Oferece poucas informa??es do passageiro;5;"Descontos para usu??rios sendo que o servi?o j?? ?? barato,n?o ?? justo com rela??o ??s normas, sendo que quase tds as vezes pendem para o lado do usu??rio, rotas que fazem o motorista andar desnecessariamente,s?? pra mostrar o quanto vcs ligam para os ""parceiros"" tive um problema reportei pra vcs e a resposta foi que eu estava utilizando o aplicativo de forma errada, sendo que dirijo a mais de uma ano na plataforma! Ent?o e dif??cil ganhar da concorrente que mesmo"
Neutral;BR;SP;N?o oferece uma visualiza??o clara e correta dos meus ganhos;Todos gostam da 99, n?o h?? necessidade em recomendar para outras pessoas;Oferece poucas informa??es do passageiro;7;
Neutral;BR;SP;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;Muitas corridas iniciam ou se encerram em ??reas de risco;7;
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Todos est?o falando sobre a 99 de forma negativa;N?o oferece uma visualiza??o clara e correta dos meus ganhos;5;
Neutral;BR;SP;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;Muitas corridas iniciam ou se encerram em ??reas de risco;8;Boa noite, houve recentemente reajuste de tarifa para o passageiro em Bragan?a Paulista de R$5,00 para R$5,30 e o valor apenas foi reajustado para o passageiro e o motorista continua ganhando R4,75 nas corridas m??nimas sendo que constantemente h?? reajuste de combust??vel e a meta di??ria de um motorista tem que ser cada vez maior. Neste ponto a 99 n?o est?? sendo t?o parceira do motorista
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;N?o mostra o local de embarque e desembarque com precis?o;;8;
Neutral;BR;SP;? perigoso trabalhar com a 99;;;8;Tem passageiro usando nome fantasia.
Detractor;BR;SP;As rotas de viagem s?o perigosas;Os ganhos s?o poucos e inst??veis;N?o oferece uma visualiza??o clara e correta dos meus ganhos;6;N?o
Neutral;BR;SP;O aplicativo n?o atende minhas necessidades de trabalho;;;8;Tem alguma corridas que tenho que fazer um grande deslocamento para ir buscar o passageiro e muitas vezes tenho que ficar aguardando muito o mesmo em algum casos n?o d?? para ficar muito tempo aguardando e o motorista faz o cancelamento ficamos no preju??zo voc??s tem que rever isso urgente!!!
Neutral;BR;SP;N?o se importa com o motorista parceiro;Os ganhos s?o poucos e inst??veis;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;7;Dar condi??es de questionar erros apontados e notas baixas por erro do aplicativo. Muitos erros de localiza??o de passageiros tamb??m
Neutral;BR;SP;Oferece poucas informa??es do passageiro;N?o se importa com o motorista parceiro;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;8;O aplicativo da 99 deveria colocar uma op??o que se o usu??rio n?o pagar o aplicativo cobra na outra corrida nem o motorista e nem o aplicativo fica no preju??zo
Detractor;BR;SP;N?o se importa com o motorista parceiro;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;5;App toca muito pouco no meu caso? Nao sei o que acontece.
Neutral;BR;SP;As rotas de viagem s?o perigosas;Muitas corridas iniciam ou se encerram em ??reas de risco;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;8;N?o manda corrida e est?o me deixando sem poder dirigir,conta suspensa
Neutral;BR;SP;N?o tem regras justas;Muitas corridas iniciam ou se encerram em ??reas de risco;Muitos dos motoristas parceiros desistem da 99;7;Tem muitas coisas excelentes mas as situa??es mais desagrad??veis que passei foi com a 99. De bandidos a caloteiros... N?o todos, n?o me interpretem mal. Eu tento mas n?o estou conseguindo rodar com a 99.
Neutral;BR;SP;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;Os ganhos s?o poucos e inst??veis;;8;
Detractor;BR;SP;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;;5;
Neutral;BR;SP;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;8;
Detractor;BR;SP;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Muitas corridas iniciam ou se encerram em ??reas de risco;As rotas de viagem s?o perigosas;5;Deveriam colocar tempo de espera para os passageiros pois ficamos em locais perigosos
Neutral;BR;SP;Muitos dos motoristas parceiros desistem da 99;N?o tem regras justas;;7;
Neutral;BR;SP;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;;8;
Detractor;BR;SP;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;? perigoso trabalhar com a 99;N?o tem regras justas;0;Regras n?o s?o claras....suspens?o para casos n?o explicados....pre?o extremamente baixo das corridas.
Neutral;BR;SP;? perigoso trabalhar com a 99;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Oferece poucas informa??es do passageiro;8;Sim melhora o cadastramento de passageiro pedir cpf e se poss??vel atestado de anteced??ncia.porque a maioria de alsato e pela 99 sempre.
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;? dif??cil receber meus ganhos na minha conta;8;
Detractor;BR;SP;N?o tem regras justas;N?o se importa com o motorista parceiro;Os ganhos s?o poucos e inst??veis;5;"Aplicativo e bom mais tem muitas coisas a melhorar ex; passageiros dando golpes em motoristas e pedindo pra coloca pra paga na pr??xima corrida ,onde reporta pra 99 e vc n?o recebe"
Detractor;BR;SP;N?o se importa com o motorista parceiro;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;5;Agora obriga o motorista a ter uma taxa de aceita??o,  ou seja isso ao meu ver implica uma meta estabelecida pela empresa, se n?o cumprir sou punido. Isso ?? v??nculo!
Detractor;BR;SP;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;N?o tem regras justas;N?o se importa com o motorista parceiro;0;Deveria ouvir o motorista, e vendo que ?? um problema do sistema procurar resolver e n?o dar como resposta que foi um erro de sistema, n?o podemos fazer nada.
Neutral;BR;SP;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;Os ganhos s?o poucos e inst??veis;;7;
Neutral;BR;SP;? perigoso trabalhar com a 99;;;8;
Neutral;BR;SP;N?o oferece uma visualiza??o clara e correta dos meus ganhos;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Os ganhos s?o poucos e inst??veis;8;
